P:?.? ; M:0.0.0 
P:?.? ; M:0.0.1 
P:?.? ; M:0.0.2 
P:?.? ; M:0.0.3 
P:?.? ; M:0.0.4 
P:?.? ; M:0.0.5 
P:?.? ; M:0.0.6 
P:?.? ; M:0.0.7 
P:?.? ; M:0.0.8 
P:?.? ; M:0.0.9 
P:?.? ; M:0.0.10 
P:?.? ; M:0.0.11 
P:?.? ; M:0.0.12 
P:?.? ; M:0.1.0 
P:?.? ; M:0.1.1 
P:?.? ; M:0.1.2 
P:?.? ; M:0.1.3 
P:?.? ; M:0.1.4 
P:?.? ; M:0.1.5 
P:?.? ; M:0.1.6 
P:?.? ; M:0.1.7 
P:?.? ; M:0.1.8 
P:?.? ; M:0.1.9 
P:?.? ; M:0.1.10 
P:?.? ; M:0.1.11 
P:?.? ; M:0.1.12 
P:?.? ; M:0.2.0 
P:?.? ; M:0.2.1 
P:?.? ; M:0.2.2 
P:?.? ; M:0.2.3 
P:?.? ; M:0.2.4 
P:?.? ; M:0.2.5 
P:?.? ; M:0.2.6 
P:?.? ; M:0.2.7 
P:?.? ; M:0.2.8 
P:?.? ; M:0.2.9 
P:?.? ; M:0.2.10 
P:?.? ; M:0.2.11 
P:?.? ; M:0.2.12 
P:?.? ; M:0.3.0 
P:?.? ; M:0.3.1 
P:?.? ; M:0.3.2 
P:?.? ; M:0.3.3 
P:?.? ; M:0.3.4 
P:?.? ; M:0.3.5 
P:?.? ; M:0.3.6 
P:?.? ; M:0.3.7 
P:?.? ; M:0.3.8 
P:?.? ; M:0.3.9 
P:?.? ; M:0.3.10 
P:?.? ; M:0.3.11 
P:?.? ; M:0.3.12 
P:?.? ; M:0.4.0 
P:?.? ; M:0.4.1 
P:?.? ; M:0.4.2 
P:?.? ; M:0.4.3 
P:?.? ; M:0.4.4 
P:?.? ; M:0.4.5 
P:?.? ; M:0.4.6 
P:?.? ; M:0.4.7 
P:?.? ; M:0.4.8 
P:?.? ; M:0.4.9 
P:?.? ; M:0.4.10 
P:?.? ; M:0.4.11 
P:?.? ; M:0.4.12 
P:?.? ; M:0.5.0 
P:?.? ; M:0.5.1 
P:?.? ; M:0.5.2 
P:?.? ; M:0.5.3 
P:?.? ; M:0.5.4 
P:?.? ; M:0.5.5 
P:?.? ; M:0.5.6 
P:?.? ; M:0.5.7 
P:?.? ; M:0.5.8 
P:?.? ; M:0.5.9 
P:?.? ; M:0.5.10 
P:?.? ; M:0.5.11 
P:?.? ; M:0.5.12 
P:?.? ; M:0.6.0 
P:?.? ; M:0.6.1 
P:?.? ; M:0.6.2 
P:?.? ; M:0.6.3 
P:?.? ; M:0.6.4 
P:?.? ; M:0.6.5 
P:?.? ; M:0.6.6 
P:?.? ; M:0.6.7 
P:?.? ; M:0.6.8 
P:?.? ; M:0.6.9 
P:?.? ; M:0.6.10 
P:?.? ; M:0.6.11 
P:?.? ; M:0.6.12 
P:?.? ; M:0.7.0 
P:?.? ; M:0.7.1 
P:?.? ; M:0.7.2 
P:?.? ; M:0.7.3 
P:?.? ; M:0.7.4 
P:?.? ; M:0.7.5 
P:?.? ; M:0.7.6 
P:?.? ; M:0.7.7 
P:?.? ; M:0.7.8 
P:?.? ; M:0.7.9 
P:?.? ; M:0.7.10 
P:?.? ; M:0.7.11 
P:?.? ; M:0.7.12 
P:?.? ; M:0.8.0 
P:?.? ; M:0.8.1 
P:?.? ; M:0.8.2 
P:?.? ; M:0.8.3 
P:?.? ; M:0.8.4 
P:?.? ; M:0.8.5 
P:?.? ; M:0.8.6 
P:?.? ; M:0.8.7 
P:?.? ; M:0.8.8 
P:?.? ; M:0.8.9 
P:?.? ; M:0.8.10 
P:?.? ; M:0.8.11 
P:?.? ; M:0.8.12 
P:?.? ; M:0.9.0 
P:?.? ; M:0.9.1 
P:?.? ; M:0.9.2 
P:?.? ; M:0.9.3 
P:?.? ; M:0.9.4 
P:?.? ; M:0.9.5 
P:?.? ; M:0.9.6 
P:?.? ; M:0.9.7 
P:?.? ; M:0.9.8 
P:?.? ; M:0.9.9 
P:?.? ; M:0.9.10 
P:?.? ; M:0.9.11 
P:?.? ; M:0.9.12 
P:?.? ; M:0.10.0 
P:?.? ; M:0.10.1 
P:?.? ; M:0.10.2 
P:?.? ; M:0.10.3 
P:?.? ; M:0.10.4 
P:?.? ; M:0.10.5 
P:?.? ; M:0.10.6 
P:?.? ; M:0.10.7 
P:?.? ; M:0.10.8 
P:?.? ; M:0.10.9 
P:?.? ; M:0.10.10 
P:?.? ; M:0.10.11 
P:?.? ; M:0.10.12 
P:?.? ; M:0.11.0 
P:?.? ; M:0.11.1 
P:?.? ; M:0.11.2 
P:?.? ; M:0.11.3 
P:?.? ; M:0.11.4 
P:?.? ; M:0.11.5 
P:?.? ; M:0.11.6 
P:?.? ; M:0.11.7 
P:?.? ; M:0.11.8 
P:?.? ; M:0.11.9 
P:?.? ; M:0.11.10 
P:?.? ; M:0.11.11 
P:?.? ; M:0.11.12 
P:?.? ; M:0.12.0 
P:?.? ; M:0.12.1 
P:?.? ; M:0.12.2 
P:?.? ; M:0.12.3 
P:?.? ; M:0.12.4 
P:?.? ; M:0.12.5 
P:?.? ; M:0.12.6 
P:?.? ; M:0.12.7 
P:?.? ; M:0.12.8 
P:?.? ; M:0.12.9 
P:?.? ; M:0.12.10 
P:?.? ; M:0.12.11 
P:?.? ; M:0.12.12 
P:?.? ; M:0.13.0 
P:?.? ; M:0.13.1 
P:?.? ; M:0.13.2 
P:?.? ; M:0.13.3 
P:?.? ; M:0.13.4 
P:?.? ; M:0.13.5 
P:?.? ; M:0.13.6 
P:?.? ; M:0.13.7 
P:?.? ; M:0.13.8 
P:?.? ; M:0.13.9 
P:?.? ; M:0.13.10 
P:?.? ; M:0.13.11 
P:?.? ; M:0.13.12 
P:?.? ; M:0.14.0 
P:?.? ; M:0.14.1 
P:?.? ; M:0.14.2 
P:?.? ; M:0.14.3 
P:?.? ; M:0.14.4 
P:?.? ; M:0.14.5 
P:?.? ; M:0.14.6 
P:?.? ; M:0.14.7 
P:?.? ; M:0.14.8 
P:?.? ; M:0.14.9 
P:?.? ; M:0.14.10 
P:?.? ; M:0.14.11 
P:?.? ; M:0.14.12 
P:?.? ; M:0.15.0 
P:?.? ; M:0.15.1 
P:?.? ; M:0.15.2 
P:?.? ; M:0.15.3 
P:?.? ; M:0.15.4 
P:?.? ; M:0.15.5 
P:?.? ; M:0.15.6 
P:?.? ; M:0.15.7 
P:?.? ; M:0.15.8 
P:?.? ; M:0.15.9 
P:?.? ; M:0.15.10 
P:?.? ; M:0.15.11 
P:?.? ; M:0.15.12 
P:?.? ; M:0.16.0 
P:?.? ; M:0.16.1 
P:?.? ; M:0.16.2 
P:?.? ; M:0.16.3 
P:?.? ; M:0.16.4 
P:?.? ; M:0.16.5 
P:?.? ; M:0.16.6 
P:?.? ; M:0.16.7 
P:?.? ; M:0.16.8 
P:?.? ; M:0.16.9 
P:?.? ; M:0.16.10 
P:?.? ; M:0.16.11 
P:?.? ; M:0.16.12 
P:?.? ; M:0.17.0 
P:?.? ; M:0.17.1 
P:?.? ; M:0.17.2 
P:?.? ; M:0.17.3 
P:?.? ; M:0.17.4 
