##############
# Main walls #
##############
# Main wall side 0:
# Column 0:
H:0.0.23  ; E:12  ; A:12.3   ; M:0.0.0   
H:0.0.22  ; E:12  ; A:12.18  ; M:0.0.1   
H:0.0.6   ; E:12  ; A:12.34  ; M:0.0.2   
H:0.2.23  ; E:14  ; A:14.3   ; M:0.0.3   
H:0.2.22  ; E:14  ; A:14.18  ; M:0.0.4   
H:0.2.6   ; E:14  ; A:14.34  ; M:0.0.5   
H:0.4.23  ; E:16  ; A:16.3   ; M:0.0.6   
H:0.4.22  ; E:16  ; A:16.18  ; M:0.0.7   
H:0.4.6   ; E:16  ; A:16.34  ; M:0.0.8   
H:0.6.23  ; E:18  ; A:18.3   ; M:0.0.9   
H:0.6.22  ; E:18  ; A:18.18  ; M:0.0.10  
H:0.6.6   ; E:18  ; A:18.34  ; M:0.0.11  
H:0.8.23  ; E:20  ; A:20.3   ; M:0.0.12  
# Column 1:
H:0.0.24  ; E:12  ; A:12.4   ; M:0.1.0   
H:0.0.29  ; E:12  ; A:12.19  ; M:0.1.1   
H:0.0.7   ; E:12  ; A:12.35  ; M:0.1.2   
H:0.2.24  ; E:14  ; A:14.4   ; M:0.1.3   
H:0.2.29  ; E:14  ; A:14.19  ; M:0.1.4   
H:0.2.7   ; E:14  ; A:14.35  ; M:0.1.5   
H:0.4.24  ; E:16  ; A:16.4   ; M:0.1.6   
H:0.4.29  ; E:16  ; A:16.19  ; M:0.1.7   
H:0.4.7   ; E:16  ; A:16.35  ; M:0.1.8   
H:0.6.24  ; E:18  ; A:18.4   ; M:0.1.9   
H:0.6.29  ; E:18  ; A:18.19  ; M:0.1.10  
H:0.6.7   ; E:18  ; A:18.35  ; M:0.1.11  
H:0.8.24  ; E:20  ; A:20.4   ; M:0.1.12  
# Column 2:
H:0.0.25  ; E:12  ; A:12.5   ; M:0.2.0   
H:0.0.30  ; E:12  ; A:12.20  ; M:0.2.1   
H:0.0.8   ; E:12  ; A:12.36  ; M:0.2.2   
H:0.2.25  ; E:14  ; A:14.5   ; M:0.2.3   
H:0.2.30  ; E:14  ; A:14.20  ; M:0.2.4   
H:0.2.8   ; E:14  ; A:14.36  ; M:0.2.5   
H:0.4.25  ; E:16  ; A:16.5   ; M:0.2.6   
H:0.4.30  ; E:16  ; A:16.20  ; M:0.2.7   
H:0.4.8   ; E:16  ; A:16.36  ; M:0.2.8   
H:0.6.25  ; E:18  ; A:18.5   ; M:0.2.9   
H:0.6.30  ; E:18  ; A:18.20  ; M:0.2.10  
H:0.6.8   ; E:18  ; A:18.36  ; M:0.2.11  
H:0.8.25  ; E:20  ; A:20.5   ; M:0.2.12  
# Column 3:
H:0.0.26  ; E:12  ; A:12.6   ; M:0.3.0   
H:0.0.12  ; E:12  ; A:12.24  ; M:0.3.1   
H:0.0.9   ; E:12  ; A:12.37  ; M:0.3.2   
H:0.2.26  ; E:14  ; A:14.6   ; M:0.3.3   
H:0.2.12  ; E:14  ; A:14.24  ; M:0.3.4   
H:0.2.9   ; E:14  ; A:14.37  ; M:0.3.5   
H:0.4.26  ; E:16  ; A:16.6   ; M:0.3.6   
H:0.4.12  ; E:16  ; A:16.24  ; M:0.3.7   
H:0.4.9   ; E:16  ; A:16.37  ; M:0.3.8   
H:0.6.26  ; E:18  ; A:18.6   ; M:0.3.9   
H:0.6.12  ; E:18  ; A:18.24  ; M:0.3.10  
H:0.6.9   ; E:18  ; A:18.37  ; M:0.3.11  
H:0.8.26  ; E:20  ; A:20.6   ; M:0.3.12  
# Column 4:
H:0.0.27  ; E:12  ; A:12.7   ; M:0.4.0   
H:0.0.13  ; E:12  ; A:12.25  ; M:0.4.1   
H:0.0.10  ; E:12  ; A:12.38  ; M:0.4.2   
H:0.2.27  ; E:14  ; A:14.7   ; M:0.4.3   
H:0.2.13  ; E:14  ; A:14.25  ; M:0.4.4   
H:0.2.10  ; E:14  ; A:14.38  ; M:0.4.5   
H:0.4.27  ; E:16  ; A:16.7   ; M:0.4.6   
H:0.4.13  ; E:16  ; A:16.25  ; M:0.4.7   
H:0.4.10  ; E:16  ; A:16.38  ; M:0.4.8   
H:0.6.27  ; E:18  ; A:18.7   ; M:0.4.9   
H:0.6.13  ; E:18  ; A:18.25  ; M:0.4.10  
H:0.6.10  ; E:18  ; A:18.38  ; M:0.4.11  
H:0.8.27  ; E:20  ; A:20.7   ; M:0.4.12  
# Column 5:
H:0.0.28  ; E:12  ; A:12.8   ; M:0.5.0   
H:0.0.14  ; E:12  ; A:12.26  ; M:0.5.1   
H:0.0.11  ; E:12  ; A:12.39  ; M:0.5.2   
H:0.2.28  ; E:14  ; A:14.8   ; M:0.5.3   
H:0.2.14  ; E:14  ; A:14.26  ; M:0.5.4   
H:0.2.11  ; E:14  ; A:14.39  ; M:0.5.5   
H:0.4.28  ; E:16  ; A:16.8   ; M:0.5.6   
