# Table extracted from DocDB 4796-v1
# Author : Ramon Salazar
# Date   : 2019-01-07

P:1.1 ; X:0.0.0.15
P:1.2 ; X:0.0.1.15
P:1.3 ; G:0.1.0
P:1.4 ; G:0.1.1
P:1.5 ; G:0.1.2
P:1.6 ; G:0.1.3
P:1.7 ; G:0.1.4
P:1.8 ; G:0.1.5
P:1.9 ; G:0.1.6
P:1.10 ; G:0.1.7
P:1.11 ; X:0.0.0.14
P:1.12 ; X:0.0.1.14
P:1.13 ; M:0.0.12
P:1.14 ; M:0.1.12
P:1.15 ; M:0.2.12
P:1.16 ; M:0.3.12
P:1.17 ; M:0.4.12
P:1.18 ; M:0.5.12
P:1.19 ; M:0.6.12
P:1.20 ; M:0.7.12
P:1.21 ; M:0.8.12
P:1.22 ; M:0.9.12
P:1.23 ; X:0.0.0.13
P:1.24 ; X:0.0.1.13
P:1.25 ; M:0.0.11
P:1.26 ; M:0.1.11
P:1.27 ; M:0.2.11
P:1.28 ; M:0.3.11
P:1.29 ; M:0.4.11
P:1.30 ; M:0.5.11
P:1.31 ; M:0.6.11
P:1.32 ; M:0.7.11
P:1.33 ; M:0.8.11
P:1.34 ; M:0.9.11
P:1.35 ; X:0.0.0.12
P:1.36 ; X:0.0.1.12
P:1.37 ; M:0.0.10
P:1.38 ; M:0.1.10
P:1.39 ; M:0.2.10
P:1.40 ; M:0.3.10
P:1.41 ; M:0.4.10
P:1.42 ; M:0.5.10
P:1.43 ; M:0.6.10
P:1.44 ; M:0.7.10
P:1.45 ; M:0.8.10
P:1.46 ; M:0.9.10
P:1.47 ; X:0.0.0.11
P:1.48 ; X:0.0.1.11
P:1.49 ; M:0.0.9
P:1.50 ; M:0.1.9
P:1.51 ; M:0.2.9
P:1.52 ; M:0.3.9
P:1.53 ; M:0.4.9
P:1.54 ; M:0.5.9
P:1.55 ; M:0.6.9
P:1.56 ; M:0.7.9
P:1.57 ; M:0.8.9
P:1.58 ; M:0.9.9
P:1.59 ; X:0.0.0.10
P:1.60 ; X:0.0.1.10
P:1.61 ; M:0.0.8
P:1.62 ; M:0.1.8
P:1.63 ; M:0.2.8
P:1.64 ; M:0.3.8
P:1.65 ; M:0.4.8
P:1.66 ; M:0.5.8
P:1.67 ; M:0.6.8
P:1.68 ; M:0.7.8
P:1.69 ; M:0.8.8
P:1.70 ; M:0.9.8
# Sp:1.71 ; Spare
# Sp:1.72 ; Spare
# Sp:1.73 ; Spare
# Sp:1.74 ; Spare

P:2.1 ; G:0.1.8
P:2.2 ; G:0.1.9
P:2.3 ; G:0.1.10
P:2.4 ; G:0.1.11
P:2.5 ; G:0.1.12
P:2.6 ; G:0.1.13
P:2.7 ; G:0.1.14
P:2.8 ; G:0.1.15
P:2.9 ; X:0.1.1.15
P:2.10 ; X:0.1.0.15
P:2.11 ; M:0.10.12
P:2.12 ; M:0.11.12
P:2.13 ; M:0.12.12
P:2.14 ; M:0.13.12
P:2.15 ; M:0.14.12
P:2.16 ; M:0.15.12
P:2.17 ; M:0.16.12
P:2.18 ; M:0.17.12
P:2.19 ; M:0.18.12
P:2.20 ; M:0.19.12
P:2.21 ; X:0.1.1.14
P:2.22 ; X:0.1.0.14
P:2.23 ; M:0.10.11
P:2.24 ; M:0.11.11
P:2.25 ; M:0.12.11
P:2.26 ; M:0.13.11
P:2.27 ; M:0.14.11
P:2.28 ; M:0.15.11
P:2.29 ; M:0.16.11
P:2.30 ; M:0.17.11
P:2.31 ; M:0.18.11
P:2.32 ; M:0.19.11
P:2.33 ; X:0.1.1.13
P:2.34 ; X:0.1.0.13
P:2.35 ; M:0.10.10
P:2.36 ; M:0.11.10
P:2.37 ; M:0.12.10
P:2.38 ; M:0.13.10
P:2.39 ; M:0.14.10
P:2.40 ; M:0.15.10
P:2.41 ; M:0.16.10
P:2.42 ; M:0.17.10
P:2.43 ; M:0.18.10
P:2.44 ; M:0.19.10
P:2.45 ; X:0.1.1.12
P:2.46 ; X:0.1.0.12
P:2.47 ; M:0.10.9
P:2.48 ; M:0.11.9
P:2.49 ; M:0.12.9
P:2.50 ; M:0.13.9
P:2.51 ; M:0.14.9
P:2.52 ; M:0.15.9
P:2.53 ; M:0.16.9
P:2.54 ; M:0.17.9
P:2.55 ; M:0.18.9
P:2.56 ; M:0.19.9
P:2.57 ; X:0.1.1.11
P:2.58 ; X:0.1.0.11
P:2.59 ; M:0.10.8
P:2.60 ; M:0.11.8
P:2.61 ; M:0.12.8
P:2.62 ; M:0.13.8
P:2.63 ; M:0.14.8
P:2.64 ; M:0.15.8
P:2.65 ; M:0.16.8
P:2.66 ; M:0.17.8
P:2.67 ; M:0.18.8
P:2.68 ; M:0.19.8
P:2.69 ; X:0.1.1.10
P:2.70 ; X:0.1.0.10
# Sp:2.71 ; Spare
# Sp:2.72 ; Spare
# Sp:2.73 ; Spare
# Sp:2.74 ; Spare

P:3.01 ; X:0.0.0.9
P:3.02 ; X:0.0.1.9
P:3.03 ; M:0.0.7
P:3.04 ; M:0.1.7
P:3.05 ; M:0.2.7
P:3.06 ; M:0.3.7
P:3.07 ; M:0.4.7
P:3.08 ; M:0.5.7
P:3.09 ; X:0.0.0.8
P:3.10 ; X:0.0.1.8
P:3.11 ; M:0.0.6
P:3.12 ; M:0.1.6
P:3.13 ; M:0.2.6
P:3.14 ; M:0.3.6
P:3.15 ; M:0.4.6
P:3.16 ; M:0.5.6
P:3.17 ; X:0.0.0.7
P:3.18 ; X:0.0.1.7
P:3.19 ; M:0.0.5
P:3.20 ; M:0.1.5
P:3.21 ; M:0.2.5
P:3.22 ; M:0.3.5
P:3.23 ; M:0.4.5
P:3.24 ; M:0.5.5
P:3.25 ; X:0.0.0.6
