##############
# Main walls #
##############
# Main wall side 0:
# Column 0:
H:0.0.0   ; L:11.0   ; A:11.0   ; M:0.0.0   
H:0.0.1   ; L:11.20  ; A:11.20  ; M:0.0.1   
H:0.0.2   ; L:12.0   ; A:12.0   ; M:0.0.2   
H:0.0.3   ; L:12.20  ; A:12.20  ; M:0.0.3   
H:0.0.4   ; L:13.0   ; A:13.0   ; M:0.0.4   
H:0.0.5   ; L:13.20  ; A:13.20  ; M:0.0.5   
H:0.0.6   ; L:14.0   ; A:14.0   ; M:0.0.6   
H:0.0.7   ; L:14.20  ; A:14.20  ; M:0.0.7   
H:0.0.8   ; L:15.0   ; A:15.0   ; M:0.0.8   
H:0.0.9   ; L:15.20  ; A:15.20  ; M:0.0.9   
H:0.0.10  ; L:16.0   ; A:16.0   ; M:0.0.10  
H:0.0.11  ; L:16.20  ; A:16.20  ; M:0.0.11  
H:0.0.12  ; L:17.0   ; A:17.0   ; M:0.0.12  
# Column 1:
H:0.1.0   ; L:11.1   ; A:11.1   ; M:0.1.0   
H:0.1.1   ; L:11.21  ; A:11.21  ; M:0.1.1   
H:0.1.2   ; L:12.1   ; A:12.1   ; M:0.1.2   
H:0.1.3   ; L:12.21  ; A:12.21  ; M:0.1.3   
H:0.1.4   ; L:13.1   ; A:13.1   ; M:0.1.4   
H:0.1.5   ; L:13.21  ; A:13.21  ; M:0.1.5   
H:0.1.6   ; L:14.1   ; A:14.1   ; M:0.1.6   
H:0.1.7   ; L:14.21  ; A:14.21  ; M:0.1.7   
H:0.1.8   ; L:15.1   ; A:15.1   ; M:0.1.8   
H:0.1.9   ; L:15.21  ; A:15.21  ; M:0.1.9   
H:0.1.10  ; L:16.1   ; A:16.1   ; M:0.1.10  
H:0.1.11  ; L:16.21  ; A:16.21  ; M:0.1.11  
H:0.1.12  ; L:17.1   ; A:17.1   ; M:0.1.12  
# Column 2:
H:0.2.0   ; L:11.2   ; A:11.2   ; M:0.2.0   
H:0.2.1   ; L:11.22  ; A:11.22  ; M:0.2.1   
H:0.2.2   ; L:12.2   ; A:12.2   ; M:0.2.2   
H:0.2.3   ; L:12.22  ; A:12.22  ; M:0.2.3   
H:0.2.4   ; L:13.2   ; A:13.2   ; M:0.2.4   
H:0.2.5   ; L:13.22  ; A:13.22  ; M:0.2.5   
H:0.2.6   ; L:14.2   ; A:14.2   ; M:0.2.6   
H:0.2.7   ; L:14.22  ; A:14.22  ; M:0.2.7   
H:0.2.8   ; L:15.2   ; A:15.2   ; M:0.2.8   
H:0.2.9   ; L:15.22  ; A:15.22  ; M:0.2.9   
H:0.2.10  ; L:16.2   ; A:16.2   ; M:0.2.10  
H:0.2.11  ; L:16.22  ; A:16.22  ; M:0.2.11  
H:0.2.12  ; L:17.2   ; A:17.2   ; M:0.2.12  
# Column 3:
H:0.3.0   ; L:11.3   ; A:11.3   ; M:0.3.0   
H:0.3.1   ; L:11.23  ; A:11.23  ; M:0.3.1   
H:0.3.2   ; L:12.3   ; A:12.3   ; M:0.3.2   
H:0.3.3   ; L:12.23  ; A:12.23  ; M:0.3.3   
H:0.3.4   ; L:13.3   ; A:13.3   ; M:0.3.4   
H:0.3.5   ; L:13.23  ; A:13.23  ; M:0.3.5   
H:0.3.6   ; L:14.3   ; A:14.3   ; M:0.3.6   
H:0.3.7   ; L:14.23  ; A:14.23  ; M:0.3.7   
H:0.3.8   ; L:15.3   ; A:15.3   ; M:0.3.8   
H:0.3.9   ; L:15.23  ; A:15.23  ; M:0.3.9   
H:0.3.10  ; L:16.3   ; A:16.3   ; M:0.3.10  
H:0.3.11  ; L:16.23  ; A:16.23  ; M:0.3.11  
H:0.3.12  ; L:17.3   ; A:17.3   ; M:0.3.12  
# Column 4:
H:0.4.0   ; L:11.4   ; A:11.4   ; M:0.4.0   
H:0.4.1   ; L:11.24  ; A:11.24  ; M:0.4.1   
H:0.4.2   ; L:12.4   ; A:12.4   ; M:0.4.2   
H:0.4.3   ; L:12.24  ; A:12.24  ; M:0.4.3   
H:0.4.4   ; L:13.4   ; A:13.4   ; M:0.4.4   
H:0.4.5   ; L:13.24  ; A:13.24  ; M:0.4.5   
H:0.4.6   ; L:14.4   ; A:14.4   ; M:0.4.6   
H:0.4.7   ; L:14.24  ; A:14.24  ; M:0.4.7   
H:0.4.8   ; L:15.4   ; A:15.4   ; M:0.4.8   
H:0.4.9   ; L:15.24  ; A:15.24  ; M:0.4.9   
H:0.4.10  ; L:16.4   ; A:16.4   ; M:0.4.10  
H:0.4.11  ; L:16.24  ; A:16.24  ; M:0.4.11  
H:0.4.12  ; L:17.4   ; A:17.4   ; M:0.4.12  
# Column 5:
H:0.5.0   ; L:11.5   ; A:11.5   ; M:0.5.0   
H:0.5.1   ; L:11.25  ; A:11.25  ; M:0.5.1   
H:0.5.2   ; L:12.5   ; A:12.5   ; M:0.5.2   
H:0.5.3   ; L:12.25  ; A:12.25  ; M:0.5.3   
H:0.5.4   ; L:13.5   ; A:13.5   ; M:0.5.4   
H:0.5.5   ; L:13.25  ; A:13.25  ; M:0.5.5   
H:0.5.6   ; L:14.5   ; A:14.5   ; M:0.5.6   
H:0.5.7   ; L:14.25  ; A:14.25  ; M:0.5.7   
H:0.5.8   ; L:15.5   ; A:15.5   ; M:0.5.8   
H:0.5.9   ; L:15.25  ; A:15.25  ; M:0.5.9   
H:0.5.10  ; L:16.5   ; A:16.5   ; M:0.5.10  
H:0.5.11  ; L:16.25  ; A:16.25  ; M:0.5.11  
H:0.5.12  ; L:17.5   ; A:17.5   ; M:0.5.12  
# Column 6:
H:0.6.0   ; L:11.6   ; A:11.6   ; M:0.6.0   
H:0.6.1   ; L:11.26  ; A:11.26  ; M:0.6.1   
H:0.6.2   ; L:12.6   ; A:12.6   ; M:0.6.2   
H:0.6.3   ; L:12.26  ; A:12.26  ; M:0.6.3   
H:0.6.4   ; L:13.6   ; A:13.6   ; M:0.6.4   
H:0.6.5   ; L:13.26  ; A:13.26  ; M:0.6.5   
H:0.6.6   ; L:14.6   ; A:14.6   ; M:0.6.6   
H:0.6.7   ; L:14.26  ; A:14.26  ; M:0.6.7   
H:0.6.8   ; L:15.6   ; A:15.6   ; M:0.6.8   
H:0.6.9   ; L:15.26  ; A:15.26  ; M:0.6.9   
H:0.6.10  ; L:16.6   ; A:16.6   ; M:0.6.10  
H:0.6.11  ; L:16.26  ; A:16.26  ; M:0.6.11  
H:0.6.12  ; L:17.6   ; A:17.6   ; M:0.6.12  
# Column 7:
H:0.7.0   ; L:11.7   ; A:11.7   ; M:0.7.0   
H:0.7.1   ; L:11.27  ; A:11.27  ; M:0.7.1   
H:0.7.2   ; L:12.7   ; A:12.7   ; M:0.7.2   
H:0.7.3   ; L:12.27  ; A:12.27  ; M:0.7.3   
H:0.7.4   ; L:13.7   ; A:13.7   ; M:0.7.4   
H:0.7.5   ; L:13.27  ; A:13.27  ; M:0.7.5   
H:0.7.6   ; L:14.7   ; A:14.7   ; M:0.7.6   
H:0.7.7   ; L:14.27  ; A:14.27  ; M:0.7.7   
H:0.7.8   ; L:15.7   ; A:15.7   ; M:0.7.8   
H:0.7.9   ; L:15.27  ; A:15.27  ; M:0.7.9   
H:0.7.10  ; L:16.7   ; A:16.7   ; M:0.7.10  
H:0.7.11  ; L:16.27  ; A:16.27  ; M:0.7.11  
H:0.7.12  ; L:17.7   ; A:17.7   ; M:0.7.12  
# Column 8:
H:0.8.0   ; L:11.8   ; A:11.8   ; M:0.8.0   
H:0.8.1   ; L:11.28  ; A:11.28  ; M:0.8.1   
H:0.8.2   ; L:12.8   ; A:12.8   ; M:0.8.2   
H:0.8.3   ; L:12.28  ; A:12.28  ; M:0.8.3   
