#
P:3.59 ; M:0.0.0
P:3.51 ; M:0.0.1
P:3.43 ; M:0.0.2
P:3.36 ; M:0.0.3 
P:3.27 ; M:0.0.4 
P:3.19 ; M:0.0.5 
P:3.11 ; M:0.0.6 
P:3.03 ; M:0.0.7 
P:1.61 ; M:0.0.8 
P:1.49 ; M:0.0.9 
P:1.37 ; M:0.0.10 
P:1.25 ; M:0.0.11 
P:1.13 ; M:0.0.12 
P:3.50 ; M:0.1.0 
P:3.52 ; M:0.1.1 
P:3.44 ; M:0.1.2 
P:3.37 ; M:0.1.3 
P:3.28 ; M:0.1.4 
P:3.20 ; M:0.1.5 
P:3.12 ; M:0.1.6 
P:3.04 ; M:0.1.7 
P:1.62 ; M:0.1.8 
P:1.50 ; M:0.1.9 
P:1.38 ; M:0.1.10 
P:1.26 ; M:0.1.11 
P:1.14 ; M:0.1.12 
P:3.61 ; M:0.2.0 
P:3.53 ; M:0.2.1 
P:3.45 ; M:0.2.2 
P:3.38 ; M:0.2.3 
P:3.29 ; M:0.2.4 
P:3.21 ; M:0.2.5 
P:3.13 ; M:0.2.6 
P:3.05 ; M:0.2.7 
P:1.63 ; M:0.2.8 
P:1.51 ; M:0.2.9 
P:1.39 ; M:0.2.10 
P:1.27 ; M:0.2.11 
P:1.15 ; M:0.2.12 
# end
